kw,lang,vol,kd,ad_comp,comp_idx,cpc
youtube to mp3,cs,40500,,LOW,1,0.61
mp4 to mp3,cs,6600,6,LOW,8,0.34
gif maker,en,5400,72,LOW,2,0.5
make a gif,en,5400,72,LOW,2,0.5
mp4 to gif,cs,2400,32,LOW,3,0.24
mov to mp4,cs,1900,20,LOW,22,0.34
video to mp3,cs,1900,44,LOW,20,0.32
m4a to mp3,en,1900,8,LOW,16,0.54
video to gif,cs,1600,47,LOW,6,0.36
wav to mp3,en,1300,4,LOW,15,0.37
video converter,en,1300,46,LOW,7,0.44
compress video,cs,1000,73,LOW,15,0.44
video compressor,cs,1000,72,LOW,15,0.44
mkv to mp4,cs,1000,10,LOW,8,0.23
shrink video,en,1000,46,LOW,15,0.44
video editor online,cs,880,,MEDIUM,43,0.72
avi to mp4,cs,590,5,LOW,17,0.31
webm to mp4,cs,590,3,LOW,7,0.38
mov to mp3,en,480,0,LOW,20,0.34
gif to mp4,en,480,13,LOW,3,0.41
compress video online,cs,390,48,LOW,21,0.54
compress mp4,cs,390,31,LOW,11,0.59
free video converter,cs,390,50,LOW,10,0.42
mp4 to wav,en,390,0,LOW,10,0.49
zmenšení videa,cs,320,,MEDIUM,38,0.47
mp4 to webm,cs,320,1,LOW,9,0.44
mp4 to mov,en,320,0,LOW,15,0.3
mp4 to avi,en,320,0,LOW,22,0.33
cut video online,en,320,47,LOW,9,0.53
online video converter,cs,260,77,LOW,14,0.74
convert mov to mp4,en,260,12,MEDIUM,50,0.43
extract audio from video,en,260,19,LOW,31,0.55
gif from video,en,260,47,LOW,10,0.24
crop video online,en,260,32,LOW,4,0.71
reduce video size,cs,210,39,LOW,16,0.41
convert video,cs,210,52,LOW,17,0.52
video size reducer,en,210,45,LOW,22,0.51
convert video to mp3,en,210,42,MEDIUM,36,0.52
mov to gif,en,210,14,LOW,10,0.34
video to audio,en,210,47,MEDIUM,38,0.39
komprese videa,cs,170,,LOW,31,0.42
zmenšit velikost videa,cs,170,,MEDIUM,50,0.51
video to mp4,en,170,38,LOW,27,0.48
mkv to mp3,en,170,0,LOW,2,0.61
jak zmenšit video,cs,140,,MEDIUM,56,0.56
wmv to mp4,en,140,4,LOW,28,0.48
trim video online,en,140,46,LOW,6,0.32
komprimovat video,cs,110,,MEDIUM,53,0.62
mp4 na mp3,cs,110,,LOW,28,0.5
convert video to mp4,en,110,60,MEDIUM,35,0.46
webm to mp3,en,110,0,LOW,3,
převodník videa,cs,90,,MEDIUM,66,0.42
vob to mp4,en,90,0,LOW,27,0.34
mp4 to mkv,en,90,0,LOW,7,0.36
webm to gif,en,90,11,LOW,2,
resize video,en,90,39,LOW,17,0.46
add audio to video,en,90,,LOW,11,0.65
video na mp3,cs,70,,MEDIUM,44,0.82
make video smaller,en,70,,LOW,16,0.32
compress mov,en,70,,LOW,18,0.54
flv to mp4,en,70,,LOW,6,0.33
zmenšit video,cs,50,,MEDIUM,58,0.77
zmenšit video online,cs,50,,MEDIUM,39,0.88
mp4 do mp3,cs,50,,LOW,30,0.4
video do mp3,cs,50,,MEDIUM,34,0.64
m4a na mp3,cs,50,,MEDIUM,50,0.95
oříznout video online,cs,50,,MEDIUM,40,0.5
ts to mp4,en,50,,LOW,6,0.19
rotate video online,en,50,,LOW,8,0.41
wav na mp3,cs,40,,LOW,32,0.85
3gp to mp4,en,40,,LOW,5,0.29
avi to mp3,en,40,,LOW,7,0.64
audio from video,en,40,,MEDIUM,37,0.42
mov na mp4,cs,30,,HIGH,69,0.69
gif z videa,cs,30,,LOW,31,0.46
extrahovat zvuk z videa,cs,30,,MEDIUM,64,0.58
reduce video file size,en,30,,LOW,17,0.38
m4v to mp4,en,30,,LOW,23,0.32
convert gif to mp4,en,30,,LOW,8,0.45
merge videos online,en,30,,LOW,24,0.4
video to images,en,30,,LOW,1,
mkv na mp4,cs,20,,LOW,16,0.32
avi na mp4,cs,20,,MEDIUM,47,0.31
mp4 na mkv,cs,20,,LOW,16,0.32
compress video to 10mb,en,20,,LOW,8,0.31
compress video for discord,en,20,,LOW,8,0.12
mp4 to m4a,en,20,,LOW,14,0.26
change video speed,en,20,,LOW,0,
komprimovat video online,cs,10,,HIGH,69,0.55
zmenšit mp4,cs,10,,MEDIUM,38,0.5
komprimovat mp4,cs,10,,MEDIUM,40,0.39
mov do mp4,cs,10,,MEDIUM,64,0.59
webm na mp4,cs,10,,MEDIUM,43,0.48
flv na mp4,cs,10,,,,
wmv na mp4,cs,10,,HIGH,86,1.59
ts na mp4,cs,10,,LOW,0,
video na mp4,cs,10,,MEDIUM,43,
mp4 na webm,cs,10,,,,
mp4 na mov,cs,10,,HIGH,86,
mp4 na avi,cs,10,,MEDIUM,44,0.47
mp4 na gif,cs,10,,LOW,9,0.74
mp4 na wav,cs,10,,LOW,14,
video převodník,cs,10,,HIGH,100,0.16
video na gif,cs,10,,LOW,20,0.44
mov na gif,cs,10,,,,
zvuk z videa,cs,10,,MEDIUM,41,0.39
mov na mp3,cs,10,,MEDIUM,62,1.44
mkv na mp3,cs,10,,MEDIUM,43,0.37
webm na mp3,cs,10,,LOW,14,
avi na mp3,cs,10,,LOW,29,0.38
otočit video online,cs,10,,LOW,29,1.13
compress video to 25mb,en,10,,MEDIUM,54,0.34
compress video to 8mb,en,10,,LOW,0,
compress video to 50mb,en,10,,LOW,0,
compress video to 100mb,en,10,,LOW,29,
compress video for whatsapp,en,10,,LOW,7,
compress video for email,en,10,,HIGH,86,0.27
compress video for instagram,en,10,,LOW,0,
compress mkv,en,10,,LOW,29,0.32
ogv to mp4,en,10,,LOW,0,
mute video,en,10,,LOW,6,1.28
zmenšit velikost mp4,cs,0,,,,
komprese video online,cs,0,,,,
zmenšit video zdarma,cs,0,,,,
zmenšit video na 25 mb,cs,0,,,,
zmenšit video na 10 mb,cs,0,,,,
zmenšit video na 8 mb,cs,0,,,,
zmenšit video na 50 mb,cs,0,,,,
zmenšit video pro whatsapp,cs,0,,,,
zmenšit video pro email,cs,0,,,,
zmenšit video pro discord,cs,0,,,,
zmenšit velikost video souboru,cs,0,,,,
redukce velikosti videa,cs,0,,,,
převést mov na mp4,cs,0,,,,
m4v na mp4,cs,0,,,,
převést video do mp4,cs,0,,,,
převést video na mp4,cs,0,,,,
mp4 na m4a,cs,0,,,,
převést video,cs,0,,,,
převést video online,cs,0,,,,
online převodník videa,cs,0,,,,
udělat gif z videa,cs,0,,,,
převést video na gif,cs,0,,,,
webm na gif,cs,0,,,,
získat zvuk z videa,cs,0,,,,
spojit videa online,cs,0,,,,
3gp na mp4,cs,0,,,,
compress video for telegram,en,0,,,,
mts to mp4,en,0,,,,
